County,Links
Otsego County,https://www.otsegocounty.com/; https://www.otsegocountyny.gov/departments/s-y/solid_waste/muncipal_drop_off_centers.php; https://www.otsegocountyny.gov/departments/solid_waste/recycling_information.php; https://www.otsegocountyny.gov/departments/solid_waste/index.php
Putnam County,https://www.putnamcountyny.gov/; https://www.putnamcountyny.gov/health/recycle/
Queens County,https://www.queensbp.nyc.gov/; https://www.nyc.gov/site/dsny/what-we-do/programs/special-waste-drop-off.page
Rensselaer County,https://www.rensco.com/; https://www.ercswma.org/
Richmond County,https://www.statenislandusa.com/
Rockland County,https://www.rocklandcountyny.gov/; https://www.rocklandgreen.com/facilities/; https://www.rocklandcountyny.gov/departments/health/environmental-health/waste-management
Saratoga County,https://www.saratogacountyny.gov/; https://www.townofmaltany.gov/360/Recycling-in-Saratoga-County; https://www.saratoga.com/green/saratoga-recycling-centers/
Schenectady County,https://schenectadycountyny.gov/; https://www.cityofschenectady.gov/222/Garbage-Recycling
Schoharie County,https://www4.schohariecounty-ny.gov/; https://www.schohariecounty-ny.gov/departments/solid_waste___recycling/new_page.php; https://www.schohariecounty-ny.gov/departments/solid_waste___recycling/index.php
Schuyler County,https://www.schuylercounty.us/; https://www.schuylercounty.us/528/Recycling-Solid-Waste; https://www.schuylercounty.us/1174/Waste-Management
Seneca County,https://www.senecacountyny.gov/; https://www.senecacountyny.gov/gov/admin/recycling/; https://senecacountycce.org/recycling
St. Lawrence County,https://stlawco.gov/; https://www.stlawco.gov/Departments/SolidWaste/Recycling; https://www.stlawco.gov/Departments/SolidWaste
Steuben County,https://www.steubencountyny.gov/; https://www.steubencountyny.gov/330/Recycling; https://www.steubencountyny.gov/323/Solid-Waste-Recycling
Suffolk County,https://www.suffolkcountyny.gov/; https://www.suffolkcountyny.gov/Departments/Health-Services/Dump-Site-Information
Sullivan County,https://www.sullivanny.gov/; https://www.sullivanny.gov/Departments/SolidWasteRecycling
Tioga County,https://tiogacountyny.com/; https://tiogacountyny.com/programs-agencies/sustainability-recycling/; https://tiogacountyny.com/recycling-and-disposal-lookup-guide/
Tompkins County,https://tompkinscountyny.gov/; https://www.tompkinscountyny.gov/All-Departments/Recycling-Materials-Management
Ulster County,https://ulstercountyny.gov/; https://ucrra.org/; https://ucrra.org/waste-recycling/
Warren County,https://www.warrencountyny.gov/; https://www.warrencountyny.gov/DPW/SolidWaste
Washington County,https://www.washingtoncountyny.gov/; https://www.washingtoncountyny.gov/281/Public-Works
Wayne County,https://www.waynecountyny.gov/; https://www.waynecountyny.gov/699/Waste-Reduction-Resources
Westchester County,https://www.westchestergov.com/; https://environment.westchestergov.com/facilities/h-mrf
Wyoming County,https://www.wyomingcountyny.gov/; https://www.wyomingcountyny.gov/DocumentCenter/View/7682/Waste-Management-Curb-Side-Collection-Guidelines; https://www.wm.com/us/en/location/ny/wyoming-county/trash-pickup-wyoming-county-ny
Yates County,https://www.yatescountyny.gov/; https://www.yatescountyny.gov/264/Recycling; https://townofyates.org/refuse-recycling.php
